,Rk,Nation,# Players,Min,List
0,1,us United States,140,"118,794","Lauren Holiday, Abby Wambach, Sydney Leroux, Heather O'Reilly, Alex Morgan, Christine Nairn, Allie Long, Katy Freels, Erika Tymrak, Leigh Ann Brown ..."
1,2,ca Canada,18,"19,811","Diana Matheson, Christine Sinclair, Sophie Schmidt, Kaylyn Kyle, Karina LeBlanc, Desiree Scott, Lauren Sesselmann, Rachel Quon, Erin McLeod, Robyn Gayle ..."
2,3,mx Mexico,12,"5,430","MÃ³nica Ocampo, Renae CuÃ©llar, Teresa Noyola, Maribel DomÃ­nguez, Lupita Worbis, Nayeli Rangel, Jenny Ruiz-Williams, Cecilia Santiago, Bianca Henninger, Dinora Garza ..."
3,4,au Australia,6,"6,578","Sam Kerr, Lisa De Vanna, Kyah Simon, Caitlin Foord, Lydia Vandenbergh, Emily van Egmond"
4,5,de Germany,3,"3,698","Sonja Fuss, Inka Grings, Conny Pohlers"
5,6,eng England,2,"1,914","Lianne Sanderson, Ashley Baker"
6,7,wal Wales,1,"1,876",Jess Fishlock
7,8,ws Samoa,1,"1,408",Mariah Bullock
8,9,jm Jamaica,1,378,Tiffany Cameron
9,10,tt Trinidad and Tobago,1,123,Kennya Cordner
10,11,no Norway,1,68,Lisa-Marie Woods
11,12,es Spain,1,3,Adriana
12,13,cm Cameroon,1,nan,Estelle Johnson
13,14,il Israel,1,nan,Danielle Schulmann
14,15,ph Philippines,1,nan,Joana Houplin
